ID;Imie;Nazwisko;Wiek;W zwi¹zku;Email;P³eæ
56;Andrzej;Tr¹bka;75;PRAWDA;Andrzej.Tr¹bka433@onet.pl;M
57;Monika;Mruga³a;55;FA£SZ;Monika.Mruga³a928@wp.pl;K
58;Tomasz;G³¹mb;35;FA£SZ;Tomasz.G³¹mb425@wp.pl;M
59;Anna;Kote³;15;FA£SZ;Anna.Kote³919@gmail.com;K
60;Tadeusz;Koczilla;93;PRAWDA;Tadeusz.Koczilla416@iteger.pl;M
61;Agata;Psikuta;73;PRAWDA;Agata.Psikuta910@onet.pl;K
62;Ola;Sykieiwcz;53;PRAWDA;Ola.Sykieiwcz407@onet.pl;K
63;Jakub;Brysiak;33;PRAWDA;Jakub.Brysiak902@wp.pl;M
64;Ewa;Wronko;13;FA£SZ;Ewa.Wronko398@gmail.com;K
65;Przemys³aw;Ma³pa;91;FA£SZ;Przemys³aw.Ma³pa893@iteger.pl;M
66;Pawe³;Plugiewicz;71;FA£SZ;Pawe³.Plugiewicz389@onet.pl;M
67;Andrzej;Zawada;51;PRAWDA;Andrzej.Zawada884@onet.pl;M
68;Monika;Budko;31;PRAWDA;Monika.Budko381@wp.pl;K
69;Krzysztof;Jastrz¹b;11;PRAWDA;Krzysztof.Jastrz¹b875@gmail.com;M
70;Anna;Baran;89;FA£SZ;Anna.Baran372@iteger.pl;K
71;Wies³aw;Brzoza;69;FA£SZ;Wies³aw.Brzoza866@iteger.pl;M
72;Agata;Sêp;49;FA£SZ;Agata.Sêp363@onet.pl;K
73;Ola;Zawieja;29;FA£SZ;Ola.Zawieja858@wp.pl;K
74;Piotr;Lulewicz;9;PRAWDA;Piotr.Lulewicz354@gmail.com;M
75;Micha³;Brzoza;58;PRAWDA;Micha³.Brzoza723@wp.pl;M
76;Bogus³awa;Sêp;38;PRAWDA;Bogus³awa.Sêp220@wp.pl;K
77;Izabella;Zawieja;18;PRAWDA;Izabella.Zawieja714@gmail.com;K
78;Andrzej;Wronko;66;PRAWDA;Andrzej.Wronko85@wp.pl;M
79;Jakub;Psikuta;17;PRAWDA;Jakub.Psikuta454@onet.pl;M
80;Ewa;Sykieiwcz;95;PRAWDA;Ewa.Sykieiwcz948@wp.pl;K
81;Przemys³aw;Brysiak;75;PRAWDA;Przemys³aw.Brysiak445@gmail.com;M
82;Pawe³;Wronko;55;FA£SZ;Pawe³.Wronko939@iteger.pl;M
83;Andrzej;Ma³pa;35;FA£SZ;Andrzej.Ma³pa436@iteger.pl;M
84;Monika;Plugiewicz;15;FA£SZ;Monika.Plugiewicz931@onet.pl;K
85;Krzysztof;Zawada;93;PRAWDA;Krzysztof.Zawada427@wp.pl;M
86;Anna;Budko;73;PRAWDA;Anna.Budko922@gmail.com;K
87;Wies³aw;Jastrz¹b;53;PRAWDA;Wies³aw.Jastrz¹b418@gmail.com;M
88;Agata;Baran;33;FA£SZ;Agata.Baran913@iteger.pl;K
89;Ola;Brzoza;13;FA£SZ;Ola.Brzoza410@onet.pl;K
90;D¿ej D¿ej;G³¹mb;32;PRAWDA;D¿ejD¿ej.G³¹mb653@wp.pl;M
91;Anna;D³uto;81;PRAWDA;Anna.D³uto23@onet.pl;K
92;Tadeusz;Bombka;61;PRAWDA;Tadeusz.Bombka518@wp.pl;M
93;Agata;Grzygiewicz;41;FA£SZ;Agata.Grzygiewicz14@gmail.com;K
94;Bartek;G³¹mb;21;FA£SZ;Bartek.G³¹mb509@gmail.com;M
95;Jakub;Kote³;1;FA£SZ;Jakub.Kote³6@iteger.pl;M
96;Ewa;Koczilla;79;PRAWDA;Ewa.Koczilla500@onet.pl;K
97;Przemys³aw;Psikuta;59;PRAWDA;Przemys³aw.Psikuta995@wp.pl;M
98;Pawe³;Sykieiwcz;39;PRAWDA;Pawe³.Sykieiwcz491@gmail.com;M
99;Andrzej;Brysiak;19;PRAWDA;Andrzej.Brysiak986@gmail.com;M
100;Monika;Wronko;97;FA£SZ;Monika.Wronko483@iteger.pl;K
101;Krzysztof;Ma³pa;77;FA£SZ;Krzysztof.Ma³pa977@onet.pl;M
102;Anna;Plugiewicz;57;FA£SZ;Anna.Plugiewicz474@wp.pl;K
103;Wies³aw;Zawada;37;PRAWDA;Wies³aw.Zawada968@wp.pl;M
104;Agata;Budko;17;PRAWDA;Agata.Budko465@gmail.com;K
105;Ola;Jastrz¹b;95;PRAWDA;Ola.Jastrz¹b960@iteger.pl;K
106;Tomasz;Bombka;76;FA£SZ;Tomasz.Bombka558@gmail.com;M
107;Bogus³awa;Grzygiewicz;56;PRAWDA;Bogus³awa.Grzygiewicz55@gmail.com;K
108;Tadeusz;G³¹mb;36;PRAWDA;Tadeusz.G³¹mb549@iteger.pl;M
109;Agata;Kote³;16;PRAWDA;Agata.Kote³46@onet.pl;K
110;Bartek;Koczilla;94;FA£SZ;Bartek.Koczilla541@wp.pl;M
111;Jakub;Psikuta;74;FA£SZ;Jakub.Psikuta37@gmail.com;M
112;Urszula;Sykieiwcz;54;FA£SZ;Urszula.Sykieiwcz532@gmail.com;K
113;Przemys³aw;Brysiak;34;FA£SZ;Przemys³aw.Brysiak28@iteger.pl;M
114;Pawe³;Wronko;14;PRAWDA;Pawe³.Wronko523@onet.pl;M
115;Wies³aw;Grzygiewicz;33;FA£SZ;Wies³aw.Grzygiewicz766@wp.pl;M
116;Anna;Radowicz;40;PRAWDA;Anna.Radowicz162@onet.pl;K
117;Izabella;Baran;59;FA£SZ;Izabella.Baran405@wp.pl;K
118;Ala;Brzoza;39;FA£SZ;Ala.Brzoza900@wp.pl;K
119;Piotr;Sêp;19;PRAWDA;Piotr.Sêp396@gmail.com;M
120;D¿ej D¿ej;Zawieja;97;PRAWDA;D¿ejD¿ej.Zawieja891@iteger.pl;M
121;Urszula;Lulewicz;77;PRAWDA;Urszula.Lulewicz388@onet.pl;K
122;Cezary;Kotkiewicz;57;FA£SZ;Cezary.Kotkiewicz882@wp.pl;M
123;Daniel;Koza;37;FA£SZ;Daniel.Koza379@wp.pl;M
124;Wies³aw;Radowicz;17;FA£SZ;Wies³aw.Radowicz873@gmail.com;M
125;Jakub;Budko;66;FA£SZ;Jakub.Budko244@wp.pl;M
126;Anna;Ma³pa;16;FA£SZ;Anna.Ma³pa613@onet.pl;K
127;Wies³aw;Plugiewicz;94;FA£SZ;Wies³aw.Plugiewicz109@wp.pl;M
128;Agata;Zawada;74;PRAWDA;Agata.Zawada604@gmail.com;K
129;Ola;Budko;54;PRAWDA;Ola.Budko101@gmail.com;K
130;Piotr;Jastrz¹b;34;PRAWDA;Piotr.Jastrz¹b595@iteger.pl;M
131;Micha³;Plugiewicz;83;PRAWDA;Micha³.Plugiewicz964@gmail.com;M
132;Bogus³awa;Zawada;63;PRAWDA;Bogus³awa.Zawada461@iteger.pl;K
133;Izabella;Budko;43;FA£SZ;Izabella.Budko955@onet.pl;K
134;Ala;Jastrz¹b;23;FA£SZ;Ala.Jastrz¹b452@onet.pl;K
135;Piotr;Baran;3;FA£SZ;Piotr.Baran946@wp.pl;M
136;D¿ej D¿ej;Brzoza;81;FA£SZ;D¿ejD¿ej.Brzoza443@gmail.com;M
137;Urszula;Sêp;61;PRAWDA;Urszula.Sêp938@iteger.pl;K
138;Cezary;Zawieja;41;PRAWDA;Cezary.Zawieja434@onet.pl;M
139;Agata;Wronko;89;PRAWDA;Agata.Wronko803@iteger.pl;K
140;Bartek;Ma³pa;69;PRAWDA;Bartek.Ma³pa300@iteger.pl;M
141;Jakub;Plugiewicz;49;PRAWDA;Jakub.Plugiewicz794@onet.pl;M
142;Urszula;Zawada;29;FA£SZ;Urszula.Zawada291@wp.pl;K
143;Wies³aw;Wronko;78;FA£SZ;Wies³aw.Wronko660@onet.pl;M
144;Agata;Ma³pa;58;FA£SZ;Agata.Ma³pa156@wp.pl;K
145;Ola;Plugiewicz;38;FA£SZ;Ola.Plugiewicz651@wp.pl;K
146;Piotr;Zawada;18;FA£SZ;Piotr.Zawada147@gmail.com;M
147;Ewa;Budko;96;PRAWDA;Ewa.Budko642@iteger.pl;K
148;Kamil;Jastrz¹b;76;PRAWDA;Kamil.Jastrz¹b139@onet.pl;M
149;Pawe³;Baran;56;PRAWDA;Pawe³.Baran633@wp.pl;M
150;Ma³gorzata;Brzoza;36;FA£SZ;Ma³gorzata.Brzoza130@wp.pl;K
151;Piotr;Budko;84;FA£SZ;Piotr.Budko498@onet.pl;M
152;D¿ej D¿ej;Jastrz¹b;64;FA£SZ;D¿ejD¿ej.Jastrz¹b993@wp.pl;M
153;Kamil;Baran;44;FA£SZ;Kamil.Baran490@gmail.com;M
154;Cezary;Brzoza;24;FA£SZ;Cezary.Brzoza984@iteger.pl;M
155;Daniel;Sêp;4;PRAWDA;Daniel.Sêp481@iteger.pl;M
156;Wies³aw;Zawieja;82;PRAWDA;Wies³aw.Zawieja975@onet.pl;M
157;Jolanta;Lulewicz;62;PRAWDA;Jolanta.Lulewicz472@wp.pl;K
158;Micha³;Kotkiewicz;42;FA£SZ;Micha³.Kotkiewicz967@gmail.com;M
159;Bogus³awa;Koza;22;FA£SZ;Bogus³awa.Koza463@gmail.com;K
160;Tadeusz;Radowicz;2;FA£SZ;Tadeusz.Radowicz958@iteger.pl;M
161;Andrzej;Lulewicz;51;FA£SZ;Andrzej.Lulewicz329@gmail.com;M
162;Monika;Kotkiewicz;31;FA£SZ;Monika.Kotkiewicz823@iteger.pl;K
163;Tomasz;Koza;11;PRAWDA;Tomasz.Koza320@onet.pl;M
164;Urszula;D¹b;20;PRAWDA;Urszula.D¹b940@gmail.com;K
165;Tadeusz;Cygan;69;PRAWDA;Tadeusz.Cygan311@wp.pl;M
166;Agata;Tr¹bka;49;PRAWDA;Agata.Tr¹bka806@gmail.com;K
167;Bartek;Mruga³a;29;FA£SZ;Bartek.Mruga³a302@iteger.pl;M
168;Jakub;D¹b;9;FA£SZ;Jakub.D¹b797@onet.pl;M
169;Ewa;Piese³;87;FA£SZ;Ewa.Piese³293@onet.pl;K
170;Przemys³aw;Konieczko;67;PRAWDA;Przemys³aw.Konieczko788@wp.pl;M
171;Pawe³;D³uto;47;PRAWDA;Pawe³.D³uto285@gmail.com;M
172;Andrzej;Bombka;27;PRAWDA;Andrzej.Bombka779@iteger.pl;M
173;Monika;Grzygiewicz;7;FA£SZ;Monika.Grzygiewicz276@onet.pl;K
174;Tomasz;G³¹mb;85;FA£SZ;Tomasz.G³¹mb770@onet.pl;M
175;Anna;Kote³;65;FA£SZ;Anna.Kote³267@wp.pl;K
176;Wies³aw;Koczilla;45;FA£SZ;Wies³aw.Koczilla762@gmail.com;M
177;Agata;Psikuta;25;PRAWDA;Agata.Psikuta258@iteger.pl;K
178;Ola;Sykieiwcz;5;PRAWDA;Ola.Sykieiwcz753@iteger.pl;K
179;Jakub;Brysiak;83;PRAWDA;Jakub.Brysiak249@onet.pl;M
180;Ewa;Wronko;63;FA£SZ;Ewa.Wronko744@wp.pl;K
181;Kamil;Ma³pa;43;FA£SZ;Kamil.Ma³pa241@gmail.com;M
182;Pawe³;Plugiewicz;23;FA£SZ;Pawe³.Plugiewicz735@iteger.pl;M
183;Ma³gorzata;Zawieja;3;FA£SZ;Ma³gorzata.Zawieja232@iteger.pl;K
184;Monika;Lulewicz;81;PRAWDA;Monika.Lulewicz726@onet.pl;K
185;Krzysztof;Kotkiewicz;61;PRAWDA;Krzysztof.Kotkiewicz223@wp.pl;M
186;Anna;Koza;41;PRAWDA;Anna.Koza718@gmail.com;K
187;Wies³aw;Radowicz;21;FA£SZ;Wies³aw.Radowicz214@gmail.com;M
188;Izabella;Cygan;1;FA£SZ;Izabella.Cygan709@iteger.pl;K
189;Ola;Tr¹bka;79;FA£SZ;Ola.Tr¹bka205@onet.pl;K
190;Piotr;Mruga³a;59;PRAWDA;Piotr.Mruga³a700@wp.pl;M
191;Ewa;D¹b;39;PRAWDA;Ewa.D¹b197@gmail.com;K
192;Kamil;Piese³;19;PRAWDA;Kamil.Piese³691@gmail.com;M
193;Pawe³;Konieczko;97;PRAWDA;Pawe³.Konieczko188@iteger.pl;M
194;Ma³gorzata;D³uto;77;FA£SZ;Ma³gorzata.D³uto682@onet.pl;K
195;Wies³aw;Bombka;57;FA£SZ;Wies³aw.Bombka179@wp.pl;M
196;Krzysztof;Grzygiewicz;37;FA£SZ;Krzysztof.Grzygiewicz674@wp.pl;M
197;Micha³;G³¹mb;17;PRAWDA;Micha³.G³¹mb170@gmail.com;M
198;Wies³aw;Kote³;95;PRAWDA;Wies³aw.Kote³665@iteger.pl;M
199;Izabella;Koczilla;75;PRAWDA;Izabella.Koczilla161@onet.pl;K
200;Ala;Psikuta;55;PRAWDA;Ala.Psikuta656@onet.pl;K
201;Piotr;Sykieiwcz;35;FA£SZ;Piotr.Sykieiwcz153@wp.pl;M
202;D¿ej D¿ej;Brysiak;15;FA£SZ;D¿ejD¿ej.Brysiak647@gmail.com;M
203;Kamil;Wronko;93;FA£SZ;Kamil.Wronko144@iteger.pl;M
204;Cezary;Ma³pa;73;PRAWDA;Cezary.Ma³pa638@onet.pl;M
205;Ma³gorzata;Plugiewicz;53;PRAWDA;Ma³gorzata.Plugiewicz135@onet.pl;K
206;Wies³aw;Zawada;33;PRAWDA;Wies³aw.Zawada630@wp.pl;M
207;Jolanta;Budko;13;PRAWDA;Jolanta.Budko126@gmail.com;K
208;Micha³;Jastrz¹b;91;FA£SZ;Micha³.Jastrz¹b621@iteger.pl;M
209;Bogus³awa;Baran;71;FA£SZ;Bogus³awa.Baran117@iteger.pl;K
210;Izabella;Radowicz;51;FA£SZ;Izabella.Radowicz612@onet.pl;K
211;Ala;Cygan;31;PRAWDA;Ala.Cygan109@wp.pl;K
212;Piotr;Tr¹bka;11;PRAWDA;Piotr.Tr¹bka603@gmail.com;M
213;D¿ej D¿ej;Mruga³a;89;PRAWDA;D¿ejD¿ej.Mruga³a100@iteger.pl;M
214;Urszula;D¹b;69;FA£SZ;Urszula.D¹b594@iteger.pl;K
215;Cezary;Piese³;49;FA£SZ;Cezary.Piese³91@onet.pl;M
216;Tadeusz;Grzygiewicz;10;PRAWDA;Tadeusz.Grzygiewicz615@onet.pl;M
217;Andrzej;Konieczko;59;PRAWDA;Andrzej.Konieczko983@iteger.pl;M
218;Krzysztof;Baran;78;FA£SZ;Krzysztof.Baran228@onet.pl;M
219;Pawe³;Radowicz;47;FA£SZ;Pawe³.Radowicz840@onet.pl;M
220;Monika;Tr¹bka;7;FA£SZ;Monika.Tr¹bka831@gmail.com;K
221;Krzysztof;Mruga³a;85;FA£SZ;Krzysztof.Mruga³a328@gmail.com;M
222;Micha³;D¹b;66;PRAWDA;Micha³.D¹b822@iteger.pl;M
223;Wies³aw;Piese³;46;PRAWDA;Wies³aw.Piese³319@onet.pl;M
224;Izabella;Konieczko;26;PRAWDA;Izabella.Konieczko814@wp.pl;K
225;Ola;D³uto;6;FA£SZ;Ola.D³uto310@wp.pl;K
226;Piotr;Sykieiwcz;84;FA£SZ;Piotr.Sykieiwcz805@gmail.com;M
227;Ewa;Brysiak;64;FA£SZ;Ewa.Brysiak301@iteger.pl;K
228;Kamil;Wronko;44;PRAWDA;Kamil.Wronko796@onet.pl;M
229;Cezary;Ma³pa;24;PRAWDA;Cezary.Ma³pa293@wp.pl;M
230;Ma³gorzata;Plugiewicz;4;PRAWDA;Ma³gorzata.Plugiewicz787@wp.pl;K
231;Wies³aw;Zawada;82;PRAWDA;Wies³aw.Zawada284@gmail.com;M
232;Krzysztof;Budko;62;FA£SZ;Krzysztof.Budko778@iteger.pl;M
233;Micha³;Jastrz¹b;42;FA£SZ;Micha³.Jastrz¹b275@onet.pl;M
234;Cezary;Koczilla;90;FA£SZ;Cezary.Koczilla644@iteger.pl;M
235;Daniel;Psikuta;70;FA£SZ;Daniel.Psikuta140@iteger.pl;M
236;Andrzej;Sykieiwcz;50;FA£SZ;Andrzej.Sykieiwcz635@onet.pl;M
237;Jakub;Kote³;1;FA£SZ;Jakub.Kote³6@iteger.pl;M
238;Ewa;Koczilla;79;PRAWDA;Ewa.Koczilla500@onet.pl;K
239;Przemys³aw;Psikuta;59;PRAWDA;Przemys³aw.Psikuta995@wp.pl;M
240;Pawe³;Sykieiwcz;39;PRAWDA;Pawe³.Sykieiwcz491@gmail.com;M
241;Andrzej;Brysiak;19;PRAWDA;Andrzej.Brysiak986@gmail.com;M
242;Monika;Wronko;97;FA£SZ;Monika.Wronko483@iteger.pl;K
243;Krzysztof;Ma³pa;77;FA£SZ;Krzysztof.Ma³pa977@onet.pl;M
244;Anna;Plugiewicz;57;FA£SZ;Anna.Plugiewicz474@wp.pl;K
245;Cezary;Brysiak;7;FA£SZ;Cezary.Brysiak843@onet.pl;M
246;Ma³gorzata;Wronko;85;FA£SZ;Ma³gorzata.Wronko339@onet.pl;K
247;Wies³aw;Ma³pa;65;PRAWDA;Wies³aw.Ma³pa834@wp.pl;M
248;Ewa;D¹b;46;FA£SZ;Ewa.D¹b432@onet.pl;K
249;Przemys³aw;Piese³;26;FA£SZ;Przemys³aw.Piese³927@wp.pl;M
250;Pawe³;Konieczko;6;PRAWDA;Pawe³.Konieczko424@wp.pl;M
251;Ma³gorzata;D³uto;84;PRAWDA;Ma³gorzata.D³uto918@gmail.com;K
252;Monika;Bombka;64;PRAWDA;Monika.Bombka415@iteger.pl;K
253;Urszula;Sykieiwcz;54;FA£SZ;Urszula.Sykieiwcz532@gmail.com;K
254;Przemys³aw;Brysiak;34;FA£SZ;Przemys³aw.Brysiak28@iteger.pl;M
255;Pawe³;Wronko;14;PRAWDA;Pawe³.Wronko523@onet.pl;M
256;Andrzej;Brzoza;92;PRAWDA;Andrzej.Brzoza20@wp.pl;M
257;Monika;Sêp;72;PRAWDA;Monika.Sêp514@wp.pl;K
258;Tomasz;Zawieja;52;FA£SZ;Tomasz.Zawieja11@gmail.com;M
259;Anna;Lulewicz;32;FA£SZ;Anna.Lulewicz505@iteger.pl;K
260;Tadeusz;Kotkiewicz;12;FA£SZ;Tadeusz.Kotkiewicz2@onet.pl;M
261;Agata;Koza;90;FA£SZ;Agata.Koza497@wp.pl;K
262;Ola;Radowicz;70;PRAWDA;Ola.Radowicz991@wp.pl;K
263;Jakub;Cygan;50;PRAWDA;Jakub.Cygan488@gmail.com;M
264;Ewa;Tr¹bka;30;PRAWDA;Ewa.Tr¹bka982@iteger.pl;K
265;Przemys³aw;Mruga³a;10;FA£SZ;Przemys³aw.Mruga³a479@onet.pl;M
266;Pawe³;D¹b;88;FA£SZ;Pawe³.D¹b974@onet.pl;M
267;Andrzej;Piese³;68;FA£SZ;Andrzej.Piese³470@wp.pl;M
268;Monika;Konieczko;48;PRAWDA;Monika.Konieczko965@gmail.com;K
269;D¿ej D¿ej;Mruga³a;96;FA£SZ;D¿ejD¿ej.Mruga³a336@wp.pl;M
270;Bogus³awa;Brzoza;47;FA£SZ;Bogus³awa.Brzoza704@onet.pl;K
271;Tadeusz;Sêp;27;PRAWDA;Tadeusz.Sêp201@wp.pl;M
272;Ala;Zawieja;7;PRAWDA;Ala.Zawieja696@wp.pl;K
273;Bartek;Lulewicz;85;PRAWDA;Bartek.Lulewicz192@gmail.com;M
274;D¿ej D¿ej;Kotkiewicz;65;PRAWDA;D¿ejD¿ej.Kotkiewicz687@iteger.pl;M
275;Urszula;Koza;45;FA£SZ;Urszula.Koza183@onet.pl;K
276;Cezary;Radowicz;25;FA£SZ;Cezary.Radowicz678@wp.pl;M
277;Daniel;Cygan;5;FA£SZ;Daniel.Cygan175@wp.pl;M
278;Andrzej;Tr¹bka;83;PRAWDA;Andrzej.Tr¹bka669@gmail.com;M
279;Jolanta;Mruga³a;63;PRAWDA;Jolanta.Mruga³a166@iteger.pl;K
280;Tomasz;D¹b;43;PRAWDA;Tomasz.D¹b660@onet.pl;M
281;Bogus³awa;Piese³;23;PRAWDA;Bogus³awa.Piese³157@onet.pl;K
282;Tadeusz;Koczilla;3;FA£SZ;Tadeusz.Koczilla652@wp.pl;M
283;Ala;Psikuta;81;FA£SZ;Ala.Psikuta148@gmail.com;K
284;Bartek;Sykieiwcz;61;FA£SZ;Bartek.Sykieiwcz643@iteger.pl;M
285;Jakub;Brysiak;41;PRAWDA;Jakub.Brysiak139@onet.pl;M
286;Urszula;Wronko;21;PRAWDA;Urszula.Wronko634@onet.pl;K
287;Przemys³aw;Ma³pa;1;PRAWDA;Przemys³aw.Ma³pa131@wp.pl;M
288;Daniel;Plugiewicz;79;FA£SZ;Daniel.Plugiewicz625@gmail.com;M
289;Andrzej;Zawada;59;FA£SZ;Andrzej.Zawada122@iteger.pl;M
290;Monika;Budko;39;FA£SZ;Monika.Budko616@iteger.pl;K
291;Tomasz;Jastrz¹b;19;FA£SZ;Tomasz.Jastrz¹b113@onet.pl;M
292;Anna;Baran;97;PRAWDA;Anna.Baran608@wp.pl;K
293;Tadeusz;Brzoza;77;PRAWDA;Tadeusz.Brzoza104@gmail.com;M
294;Agata;Sêp;57;PRAWDA;Agata.Sêp599@iteger.pl;K
295;Bartek;Zawieja;37;FA£SZ;Bartek.Zawieja95@iteger.pl;M
296;Jakub;Lulewicz;17;FA£SZ;Jakub.Lulewicz590@onet.pl;M
297;Ewa;Kotkiewicz;95;FA£SZ;Ewa.Kotkiewicz87@wp.pl;K
298;Przemys³aw;Koza;75;FA£SZ;Przemys³aw.Koza581@gmail.com;M
299;Pawe³;Radowicz;55;PRAWDA;Pawe³.Radowicz78@gmail.com;M
300;Andrzej;Cygan;35;PRAWDA;Andrzej.Cygan572@iteger.pl;M
301;Anna;D¹b;73;FA£SZ;Anna.D¹b60@gmail.com;K
302;Cezary;Cygan;23;FA£SZ;Cezary.Cygan429@wp.pl;M
303;Ala;Jastrz¹b;72;FA£SZ;Ala.Jastrz¹b798@iteger.pl;K
304;Bartek;Baran;52;FA£SZ;Bartek.Baran294@onet.pl;M
305;Tomasz;Zawada;2;FA£SZ;Tomasz.Zawada663@iteger.pl;M
306;Kamil;G³¹mb;51;FA£SZ;Kamil.G³¹mb34@gmail.com;M
307;Izabella;D³uto;1;FA£SZ;Izabella.D³uto403@wp.pl;K
308;Wies³aw;D¹b;50;PRAWDA;Wies³aw.D¹b771@onet.pl;M
309;Jolanta;Piese³;30;FA£SZ;Jolanta.Piese³268@wp.pl;K
310;Tomasz;Konieczko;10;FA£SZ;Tomasz.Konieczko762@gmail.com;M
311;Bogus³awa;D³uto;88;FA£SZ;Bogus³awa.D³uto259@gmail.com;K
312;Tadeusz;Bombka;68;PRAWDA;Tadeusz.Bombka754@iteger.pl;M
313;Ala;Grzygiewicz;48;PRAWDA;Ala.Grzygiewicz250@onet.pl;K
314;Bartek;G³¹mb;28;PRAWDA;Bartek.G³¹mb745@wp.pl;M
315;Jakub;Kote³;8;PRAWDA;Jakub.Kote³241@gmail.com;M
316;Jadwiga;Hetman;90;PRAWDA;hetman@gmial.com;K
